,chipid,month
0,0003d2eb,9
1,000aa810,8
2,000d7e33,9
3,00184691,9
4,001b0634,11
5,001eb75a,1
6,0029317e,8
7,002fb84c,9
8,00301627,8
9,003a2b5b,8
10,003ab939,8
11,0040c3a8,9
12,004ef4ec,8
13,0058fedc,9
14,0060c0a5,7
15,00635116,8
16,0080ae28,8
17,0083efdf,8
18,008a52a9,8
19,008be628,10
20,008d48bf,9
21,009957ba,8
22,0099b501,9
23,00a0d9d4,9
24,00a0fcf3,8
25,00b7c361,9
26,00c03fbe,10
27,00cb4c3e,10
28,00d97746,9
29,00da2ec1,9
30,00de40a4,9
31,00e1d23f,8
32,00e6b793,8
33,00edfd51,9
34,00eee261,11
35,00efbedd,11
36,00f898a5,9
37,00fc19b1,9
38,00fd0698,8
39,00ff36dd,11
40,010966cb,8
41,011909e9,8
42,011bc55a,8
43,0131497d,0
44,0140e251,9
45,01417893,9
46,0147ad59,8
47,014e57fe,8
48,01503e8a,8
49,01567168,7
50,0157cf88,10
51,01583b0f,8
52,0177cc36,8
53,017f206b,8
54,01829c8b,9
55,018df98c,8
56,0193cab1,8
57,01a92708,8
58,01ac99fb,9
59,01b0ad1c,8
60,01b7f786,8
61,01bc24f4,8
62,01ccc4cf,8
63,01ce06f5,9
64,01e1a71e,8
65,01ea0701,8
66,01edae7b,9
67,01f1fef8,8
68,01f32968,9
69,01f7f810,8
70,01fb0167,9
71,01fec683,8
72,020aefcc,8
73,020c0e93,9
74,0215bd3a,8
75,02168744,8
76,021a5ed3,9
77,0226c804,8
78,0226fb18,9
79,022b4d29,10
80,02374617,1
81,023bff29,8
82,023f5e10,8
83,02400329,9
84,02546e15,8
85,025b36b1,8
86,02613007,6
87,026f95cb,10
88,02763d7a,8
89,027a4ff4,0
90,027d9c04,8
91,0287b450,8
92,0291ee27,9
93,02a1dc68,8
94,02a603ee,4
95,02a7f72f,8
96,02b4ce68,9
97,02c460be,7
98,02ceef52,8
99,02d8f406,8
100,02de88e0,8
101,02ea400e,8
102,02f46de1,9
103,02f855f0,8
104,02f894cc,8
105,02fd1e52,8
106,0300235a,8
107,030da7d1,8
108,031fd0f5,8
109,03224a52,8
110,032a9786,8
111,0331bda3,8
112,0332ebf4,8
113,03419529,8
114,034c753f,8
115,034d0cd4,7
116,035858c2,8
117,03660cb2,1
118,03696b34,9
119,036d94c9,9
120,0375894f,8
121,037a2db9,8
122,0384b13c,9
123,03862457,8
124,038a4e2b,8
125,038d0773,8
126,03adea0f,11
127,03b184cc,9
128,03b570e4,9
129,03b81185,9
130,03bd1b00,8
131,03bf29fa,9
132,03cfd5cd,8
133,03e506af,8
134,03f27ce1,1
135,03f9e229,3
136,04011347,8
137,040ad075,8
138,0410fc55,9
139,04203dc4,8
140,042c46f9,8
141,042dd93c,8
142,0436fc40,9
143,04392e0c,8
144,043d8d0c,8
145,04411212,9
146,04447492,8
147,044fe27e,10
148,04719c15,8
149,04850701,10
150,04869e3c,8
151,048a3f5f,8
152,0493d777,8
153,04a6a767,8
154,04b380c7,8
155,04b6efc5,8
156,04b7d503,8
157,04ca83f0,9
158,04d55e6a,9
159,04dad591,8
160,04dbc732,8
161,04dd4f3b,9
162,04debe47,8
163,04e9d006,8
164,050649cc,8
165,051dc280,9
166,05232d1e,2
167,0529a3e8,9
168,052d6e62,9
169,0532076d,10
170,053aa3da,9
171,053facf0,10
172,05405d08,11
173,0546ac0a,10
174,05476041,11
175,0548c792,9
176,0548f884,8
177,054d4908,11
178,054de818,8
179,056224a2,8
180,0564f89d,8
181,05681655,7
182,057088b1,8
183,0571b175,8
184,057ebe07,9
185,05a903fb,9
186,05b0083d,8
187,05b643ec,9
188,05b9612e,4
189,05c35f7f,9
190,05cb0ff2,8
191,05d31b5c,8
192,05e52522,8
